ID	DM	DR	MM	XT	CE
evgLocus_FPS_1721_XP_013062010.1_PREDICTED:_ovarian_cancer-associated_gene_2_protein_homolog_[Biomphalaria_glabrata]	-0.48860483412848216	-0.4414572305733576	-0.4968044173554604	-0.4496568138003358	-0.5501017083308186
evgLocus_FPS_1733_XP_013068616.1_PREDICTED:_thioredoxin,_mitochondrial-like_[Biomphalaria_glabrata]	-0.611598582533155	-0.5583012915577967	-0.5603511873645413	-0.548051812524074	-0.6074987909196659
evgLocus_FPS_2261_XP_013089368.1_PREDICTED:_thioredoxin-related_transmembrane_protein_1-like_[Biomphalaria_glabrata]	-0.6074987909196659	-0.5747004580117532	-0.5910996244657095	-0.5869998328522205	-0.5808501454319868
evgLocus_FPS_3062_XP_013086095.1_PREDICTED:_FK506-binding_protein_2-like_[Biomphalaria_glabrata]	-0.349211919269853	-0.5316526460701176	-0.5439520209105849	-0.5603511873645413	-0.5951994160791986
evgLocus_FPS_3072_Q05974.1_RecName:_Full=Ras-related_protein_Rab-1A	-0.08682525600655099	-0.08272546439306189	-0.07657577697282825	-0.07247598535933916	-0.12372338052795283
evgLocus_FPS_3926_XP_005095982.1_PREDICTED:_calcineurin_B_homologous_protein_1-like_[Aplysia_californica]	-0.32051337797542934	-0.38201025217776574	-0.3451121276563639	-0.37791046056427663	-0.3922597312114885
evgLocus_FPS_4410_XP_013065741.1_PREDICTED:_ADP-ribosylation_factor-like_protein_1,_partial_[Biomphalaria_glabrata]	-0.22826806667192473	-0.20776910860447925	-0.23851754570564745	-0.23236785828541381	-0.23851754570564745
evgLocus_FPS_4520_XP_013091144.1_PREDICTED:_ADP-ribosylation_factor-like_protein_16_[Biomphalaria_glabrata]	-0.69051957109282	-0.5562513957510522	-0.6858048107373076	-0.5521516041375631	-0.6833449357692141
evgLocus_FPS_4641_XP_013078011.1_PREDICTED:_ras-related_protein_Rap-1b_[Biomphalaria_glabrata]	-0.2221183792516911	-0.17292087988982197	-0.16882108827633285	-0.16472129666284377	-0.18727015053703377
evgLocus_FPS_5124_XP_013086441.1_PREDICTED:_ADP-ribosylation_factor-like_protein_15_[Biomphalaria_glabrata]	-0.6423470196343232	-0.45990629283405854	-0.47835535509475946	-0.480405250901504	-0.6341474364073449
evgLocus_FPS_5246_XP_013067029.1_PREDICTED:_synaptojanin-2-binding_protein-like_[Biomphalaria_glabrata]	-0.6999490918038449	-0.6361973322140896	-0.6341474364073449	-0.6320975406006004	-0.6755553317035848
evgLocus_FPS_5547_XP_012940806.1_PREDICTED:_calmodulin-2/4-like_[Aplysia_californica]	-0.5603511873645413	-0.5542014999443077	-0.5542014999443077	-0.5542014999443077	-0.5603511873645413
evgLocus_FPS_5721_NP_001298203.1_ras-related_C3_botulinum_toxin_substrate_1_[Biomphalaria_glabrata]	-0.11142400568748555	-0.109374109880741	-0.09912463084701827	-0.09912463084701827	-0.15652171343586557
evgLocus_FPS_6096_XP_013092585.1_PREDICTED:_ras-like_GTP-binding_protein_rhoA_[Biomphalaria_glabrata]	-0.5542014999443077	-0.5562513957510522	-0.548051812524074	-0.548051812524074	-0.5624010831712859
evgLocus_FPS_6687_XP_012943229.1_PREDICTED:_vesicle-associated_membrane_protein_7-like_[Aplysia_californica]	-0.27746556603379385	-0.2364676498989029	-0.2446672331258811	-0.23031796247866926	-0.7101985708375677
evgLocus_FPS_6730_XP_013077681.1_PREDICTED:_E3_ubiquitin-protein_ligase_ZNRF2-like_[Biomphalaria_glabrata]	-0.502954104775694	-0.5091037921959276	-0.5214031670363949	-0.5009042089689495	-0.5808501454319868
evgLocus_FPS_7007_XP_008945742.1_PREDICTED:_tissue_factor_pathway_inhibitor_2,_partial_[Merops_nubicus]	-0.7481216432623419	-0.7356172788412001	-0.7425869245841314	-0.7315174872277109	-0.7323374455504087
evgLocus_FPS_7154_XP_013090994.1_PREDICTED:_probable_peptidyl-tRNA_hydrolase_2_[Biomphalaria_glabrata]	-0.6739154150581893	-0.5972493118859431	-0.6589511756689539	-0.566500874784775	-0.570600666398264
evgLocus_FPS_7277_XP_013074490.1_PREDICTED:_ras-related_protein_Rap-2c-like_[Biomphalaria_glabrata]	-0.35536160669008665	-0.3287129612024075	-0.326663065395663	-0.3307628570091521	-0.3471620234631084
evgLocus_FPS_7822_XP_013079177.1_PREDICTED:_thioredoxin-1-like,_partial_[Biomphalaria_glabrata]	-0.7331574038731067	-0.7315174872277109	-0.7425869245841314	-0.7323374455504087	-0.7522214348758309
evgLocus_FPS_8064_NP_001298204.1_cdc42_homolog_[Biomphalaria_glabrata]	-0.10117452665376281	-0.10322442246050736	-0.109374109880741	-0.11962358891446373	-0.11552379730097465
evgLocus_FPS_8357_XP_012944415.1_PREDICTED:_myosin_essential_light_chain,_striated_adductor_muscle-like_[Aplysia_californica]	-0.6300476447938559	-0.6542364153134416	-0.6542364153134416	-0.6542364153134416	-0.6013491034994323
evgLocus_FPS_9044_XP_013077189.1_PREDICTED:_RING_finger_protein_24-like_[Biomphalaria_glabrata]	-0.7253677998074773	-0.6341474364073449	-0.651776540345348	-0.6487016966352313	-0.7268027268721985
evgLocus_FPS_9372_XP_013067627.1_PREDICTED:_ras-related_C3_botulinum_toxin_substrate_1-like_[Biomphalaria_glabrata]	-0.15652171343586557	-0.23236785828541381	-0.23236785828541381	-0.23236785828541381	-0.2446672331258811
evgLocus_FPS_9614_XP_013061916.1_PREDICTED:_ras-related_protein_Rab-8A-like_[Biomphalaria_glabrata]	-0.16882108827633285	-0.15037202601563193	-0.15037202601563193	-0.1524219218223765	-0.1831703589235447
evgLocus_FPS_9753_XP_013068494.1_PREDICTED:_20_kDa_calcium-binding_protein-like_isoform_X1_[Biomphalaria_glabrata]	-0.7292626018402919	-0.7276226851948964	-0.7276226851948964	-0.7276226851948964	-0.7292626018402919
evgLocus_FPS_10040_XP_013074309.1_PREDICTED:_short_coiled-coil_protein_B-like_[Biomphalaria_glabrata]	-0.6259478531803668	-0.6238979573736223	-0.6382472280208341	-0.6448068946024166	-0.6896996127701222
evgLocus_FPS_10093_Q3YLA4.2_RecName:_Full=Neuronal_calcium_sensor_1;_Short=NCS-1	-0.3102638989417066	-0.24261733731913654	-0.24261733731913654	-0.24261733731913654	-0.28976494087426113
evgLocus_FPS_6851_XP_005108820.1_PREDICTED:_serine/threonine-protein_kinase_3-like_isoform_X2_[Aplysia_californica]	-0.18112046311680013	-0.12782317214144193	-0.12577327633469737	-0.12372338052795283	-0.2057192127977347
evgLocus_FPS_2050_XP_013077239.1_PREDICTED:_mitogen-activated_protein_kinase_kinase_kinase_2-like_[Biomphalaria_glabrata]	-0.6279977489871114	-0.5542014999443077	-0.5521516041375631	-0.548051812524074	-0.6259478531803668
evgLocus_FPS_3970_XP_013089938.1_PREDICTED:_ras-related_protein_Rab-24-like_isoform_X1_[Biomphalaria_glabrata]	-0.6095486867264104	-0.4025092102452112	-0.394309627018233	-0.38406014798451027	-0.5992992076926877
evgLocus_FPS_6935_XP_013079497.1_PREDICTED:_serine/threonine-protein_kinase_NLK-like_isoform_X1_[Biomphalaria_glabrata]	-0.285665149260772	-0.2713158786135602	-0.27541567022704927	-0.27541567022704927	-0.4066090018587003
evgLocus_FPS_9845_XP_013063134.1_PREDICTED:_ras-related_protein_Rab-7a-like_[Biomphalaria_glabrata]	-0.17702067150331105	-0.10117452665376281	-0.10322442246050736	-0.1052743182672519	-0.23441775409215837
evgLocus_FX_16359_XP_013089263.1_PREDICTED:_golgin_subfamily_B_member_1-like_isoform_X3_[Biomphalaria_glabrata]	-0.7024089667719384	-0.5296027502633731	-0.5398522292970959	-0.5173033754229058	-0.7292626018402919
evgLocus_FX_16361_XP_013065477.1_PREDICTED:_ryanodine_receptor_44F-like_[Biomphalaria_glabrata]	6.6778309062504535	3.920721046179038	4.63408478692614	3.631685737428057	3.4287460525603466
evgLocus_FX_16364_XP_005089910.1_PREDICTED:_E3_ubiquitin-protein_ligase_HUWE1-like_isoform_X1_[Aplysia_californica]	0.6921351505563769	1.8421266981400675	1.911823155569382	1.735532116189351	0.5178940069830903
evgLocus_FX_16370_XP_013067133.1_PREDICTED:_cytoplasmic_dynein_1_heavy_chain_1-like_isoform_X2_[Biomphalaria_glabrata]	13.432237589473736	4.275353020745845	13.735622168871929	13.676175190476338	9.865418885738224
evgLocus_FX_16391_XP_012935847.1_PREDICTED:_putative_molluscan_insulin-related_peptide(s)_receptor_[Aplysia_californica]	0.4502474453605203	0.8971247312308315	0.8520270234824515	0.8171787947677942	-0.1790705673100556
evgLocus_FX_16411_XP_013094364.1_PREDICTED:_uncharacterized_protein_LOC106078150_[Biomphalaria_glabrata]	-0.4537566054138249	-0.1913699421505229	-0.2098190044112238	-0.23441775409215837	-0.6944143731256347
evgLocus_FX_16412_XP_013075443.1_PREDICTED:_uncharacterized_protein_LOC106061787_isoform_X2_[Biomphalaria_glabrata]	-0.5009042089689495	-0.4332576473463794	-0.45785639702731395	-0.5214031670363949	-0.7323374455504087
evgLocus_FX_16414_Q25410.1_RecName:_Full=Putative_molluscan_insulin-related_peptide(s)_receptor;_Contains:_RecName:_Full=Putative_molluscan_insulin-related_peptide(s)_receptor_alpha_chain;_Contains:_RecName:_Full=Putative_molluscan_insulin-related_peptide(s)_receptor_beta_chain;_Flags:_Precursor	0.7208336918508005	1.0078191047950371	0.9483721263994451	1.0078191047950371	0.2637069269467665
evgLocus_FX_16418_XP_013066571.1_PREDICTED:_lysine-specific_demethylase_5A-like_isoform_X2_[Biomphalaria_glabrata]	1.5448918061621082	1.8995237807289147	2.6415860627704406	2.075814820108946	0.19196057371070738
evgLocus_FX_16433_XP_013076289.1_PREDICTED:_LOW_QUALITY_PROTEIN:_serine-rich_adhesin_for_platelets-like_[Biomphalaria_glabrata]	-0.5234530628431394	-0.371760773144043	-0.0745258811660837	-0.4640060844475476	-0.7046638521593575
evgLocus_FX_16434_XP_013067345.1_PREDICTED:_tyrosine-protein_phosphatase_non-receptor_type_13-like_[Biomphalaria_glabrata]	-0.4537566054138249	-0.3307628570091521	-0.3143636905551957	-0.28976494087426113	-0.4066090018587003
evgLocus_FX_16438_XP_013070291.1_PREDICTED:_probable_helicase_with_zinc_finger_domain_[Biomphalaria_glabrata]	0.9381226473657225	1.057016604156906	1.083665249644585	1.0877650412580742	-0.6300476447938559
evgLocus_FX_16442_XP_013076016.1_PREDICTED:_multiple_epidermal_growth_factor-like_domains_protein_8_[Biomphalaria_glabrata]	1.8564759687872794	2.2746547133631667	2.2664551301361886	1.454696390665348	-0.502954104775694
evgLocus_FX_16448_XP_013074231.1_PREDICTED:_ubiquitin_carboxyl-terminal_hydrolase_24-like_isoform_X1_[Biomphalaria_glabrata]	0.9463222305927006	3.8879227132711254	1.911823155569382	3.730080736151795	-0.3102638989417066
evgLocus_FX_16450_XP_013076947.1_PREDICTED:_fatty_acid_synthase-like_[Biomphalaria_glabrata]	1.5018439942204727	4.406546352377496	4.193357188476063	3.4697439686952376	3.246305325760082
evgLocus_FX_16452_XP_012943150.1_PREDICTED:_diacylglycerol_kinase_beta-like_[Aplysia_californica]	0.5732411937651931	1.188209935788557	1.079565458031096	1.0631662915771396	0.6531871302282304
evgLocus_FX_16457_XP_013070384.1_PREDICTED:_proto-oncogene_tyrosine-protein_kinase_ROS-like_isoform_X2_[Biomphalaria_glabrata]	0.40514973761214024	-0.12372338052795283	-0.23031796247866926	-0.23441775409215837	-0.3020643157147284
evgLocus_FX_16475_XP_014778821.1_PREDICTED:_triple_functional_domain_protein-like_isoform_X5_[Octopus_bimaculoides]	-0.33896244023613026	0.025919013364399092	0.20221005274443013	0.27805619759397837	-0.18522025473028925
evgLocus_FX_16476_XP_005091947.1_PREDICTED:_ankyrin_repeat_domain-containing_protein_17-like_isoform_X2_[Aplysia_californica]	0.7474823373384796	1.1410623322334326	1.1041642077120306	1.1000644160985416	0.1878607820972183
evgLocus_FX_16477_XP_012945377.1_PREDICTED:_uncharacterized_protein_LOC101851003_[Aplysia_californica]	-0.14627223440214285	-0.08272546439306189	-0.08272546439306189	-0.13807265117516465	-0.2672160870000711
evgLocus_FX_16498_XP_013063027.1_PREDICTED:_mitogen-activated_protein_kinase_kinase_kinase_1-like_[Biomphalaria_glabrata]	-0.4640060844475476	0.16121213660953918	0.17351151145000646	0.13866328273534917	-0.4681058760610367
evgLocus_FX_16516_XP_013063009.1_PREDICTED:_plexin-A2-like_isoform_X2_[Biomphalaria_glabrata]	0.25755723952653287	0.08946578337348005	0.0792163043397573	0.07511651272626821	0.05871734627231184
evgLocus_FX_16520_XP_013068549.1_PREDICTED:_myosin-VIIa-like_isoform_X2_[Biomphalaria_glabrata]	1.1349126448131988	4.982567074072714	4.886221971155719	4.638184578539629	3.6788333409831813
evgLocus_FX_16523_XP_013078831.1_PREDICTED:_atrial_natriuretic_peptide-converting_enzyme-like_[Biomphalaria_glabrata]	-0.240567441512392	-0.27746556603379385	-0.285665149260772	-0.29386473248775025	-0.5132035838094168
evgLocus_FX_16535_XP_005104751.1_PREDICTED:_vigilin-like_[Aplysia_californica]	1.4403471200181364	2.0225175291335877	2.096313778176391	2.088114194949413	0.9340228557522333
evgLocus_FX_16545_NP_001191639.1_Src_tyrosine_kinase_2_[Aplysia_californica]	0.7351829624980123	0.36415182147724934	0.3395530717963148	0.35185244663678206	0.5260935902100685
evgLocus_FX_16553_XP_013072412.1_PREDICTED:_copine-3-like_[Biomphalaria_glabrata]	-0.7425869245841314	0.3990000501919066	0.3539023424435266	0.42564869567958574	-0.060176610518871874
evgLocus_FX_16554_XP_013091608.1_PREDICTED:_peregrin-like_isoform_X1_[Biomphalaria_glabrata]	0.546592548277514	0.636787963774274	0.962721397046657	0.718783796044056	-0.19956952537750106
evgLocus_FX_16566_XP_012943736.1_PREDICTED:_synaptotagmin-9-like_[Aplysia_californica]	-0.29181483668100566	-0.0437774440649155	-0.03147806922444822	-0.027378277610959127	-0.35536160669008665
evgLocus_FX_16577_XP_013061589.1_PREDICTED:_ras_GTPase-activating-like_protein_IQGAP1_isoform_X1_[Biomphalaria_glabrata]	-0.697694206416426	2.6805340830985873	2.766629706981858	2.489893773071344	-0.4496568138003358
evgLocus_FX_16591_XP_005103100.1_PREDICTED:_ras-related_protein_Rab-39B-like_isoform_X1_[Aplysia_californica]	-0.27746556603379385	-0.3287129612024075	-0.33486264862264115	-0.33691254442938573	-0.349211919269853
evgLocus_FX_16596utrorf_XP_005100797.1_PREDICTED:_AFG3-like_protein_2_[Aplysia_californica]	1.0447172293164388	1.0631662915771396	1.0447172293164388	1.0734157706108625	0.8397276486419842
evgLocus_FX_16606_XP_012934997.1_PREDICTED:_serine/threonine-protein_kinase_ULK2-like_isoform_X3_[Aplysia_californica]	-0.15857160924261013	-0.19751962957075653	-0.18522025473028925	-0.18522025473028925	-0.131922963754931
evgLocus_FX_16610_XP_013085488.1_PREDICTED:_serine/threonine-protein_kinase_PRP4_homolog_[Biomphalaria_glabrata]	0.2965052598546793	0.4686965076212212	0.47074640342796575	0.4686965076212212	0.10381505402069187
evgLocus_FX_16632_XP_013078022.1_PREDICTED:_uncharacterized_protein_LOC106064073_[Biomphalaria_glabrata]	-0.11757369310771919	-0.5624010831712859	-0.548051812524074	-0.5583012915577967	-0.4763054592880149
evgLocus_FX_16650_NP_001191472.1_small_G-protein_[Aplysia_californica]	-0.2651661911933266	-0.25696660796634835	-0.2549167121596038	-0.26106639957983746	-0.2979645241012393
evgLocus_FX_16652_ADI48176.1_SMURF2_[Crepidula_fornicata]	0.6490873386147413	1.3747504542023108	1.405498891303479	0.985270250920847	0.07511651272626821
evgLocus_FX_16659_XP_012936522.1_PREDICTED:_protein_bicaudal_C_homolog_1-A-like_[Aplysia_californica]	-0.7151183207737546	0.07101672111277912	0.2145094275848974	0.1489127617690719	-0.704048883417334
evgLocus_FX_16692_XP_012945855.1_PREDICTED:_atrial_natriuretic_peptide_receptor_1-like_[Aplysia_californica]	1.1410623322334326	1.0262681670557379	1.1041642077120306	0.4584470285874985	0.4461476537470312
evgLocus_FX_16696_XP_012945560.1_PREDICTED:_discoidin_domain-containing_receptor_2-like_[Aplysia_californica]	-0.09092504762004008	0.42359879987284116	-0.03147806922444822	-0.03352796503119277	-0.33691254442938573
evgLocus_FX_16733_XP_013069742.1_PREDICTED:_disks_large_homolog_1-like_isoform_X4_[Biomphalaria_glabrata]	1.1738606651413452	1.1697608735278562	1.2415072267639153	1.1041642077120306	0.24730776049281014
evgLocus_FX_16734_XP_012934961.1_PREDICTED:_RING_finger_protein_150-like_[Aplysia_californica]	-0.3615112941103203	-0.2959146282944948	-0.3164135863619402	-0.3143636905551957	-0.45785639702731395
evgLocus_FX_16756_XP_013065555.1_PREDICTED:_monocarboxylate_transporter_9-like_[Biomphalaria_glabrata]	-0.2713158786135602	-0.5234530628431394	-0.5275528544566286	-0.525502958649884	-0.4763054592880149
evgLocus_FX_16778_XP_013094545.1_PREDICTED:_ribosomal_protein_S6_kinase_2_alpha-like_[Biomphalaria_glabrata]	0.940172543172467	1.4075487871102235	1.3952494122697563	1.3542514961348653	0.985270250920847
evgLocus_FX_16779_XP_005101957.1_PREDICTED:_RING_finger_protein_17-like_[Aplysia_californica]	-0.651776540345348	-0.6177482699533886	-0.5357524376836067	-0.548051812524074	-0.7276226851948964
evgLocus_FX_16808_XP_005101496.1_PREDICTED:_tribbles_homolog_2-like_[Aplysia_californica]	-0.48655493832173763	-0.23441775409215837	-0.18112046311680013	-0.19751962957075653	-0.5992992076926877
evgLocus_FX_16820_XP_005110760.2_PREDICTED:_phosphatidylinositol_4-phosphate_3-kinase_C2_domain-containing_subunit_beta-like_[Aplysia_californica]	1.0693159789973734	1.075465666417607	1.0672660831906289	1.0262681670557379	0.42359879987284116
evgLocus_FX_16836_XP_013061267.1_PREDICTED:_rho_GTPase-activating_protein_21-like_isoform_X2_[Biomphalaria_glabrata]	-0.4722056676745258	-0.2446672331258811	-0.22006848344494653	-0.24671712893262565	-0.43940733476661303
evgLocus_FX_16849_XP_013072213.1_PREDICTED:_LOW_QUALITY_PROTEIN:_eukaryotic_translation_initiation_factor_2-alpha_kinase_4-like_[Biomphalaria_glabrata]	0.050517763045333654	0.2452578646860656	0.26985661436700015	0.023869117557654543	-0.45785639702731395
evgLocus_FX_16856_XP_013065580.1_PREDICTED:_endoplasmic_reticulum_resident_protein_44-like_[Biomphalaria_glabrata]	0.04026828401161092	0.07101672111277912	0.0792163043397573	0.050517763045333654	-0.131922963754931
evgLocus_FX_16881_XP_005108344.1_PREDICTED:_ras-related_protein_Rab-5C-like_[Aplysia_californica]	-0.3471620234631084	-0.36561108572380935	-0.3410123360428748	-0.3574115024968312	-0.3758605647575321
evgLocus_FX_16887utrorf_XP_013097030.1_PREDICTED:_EF-hand_calcium-binding_domain-containing_protein_11-like_isoform_X1_[Biomphalaria_glabrata]	-0.713478404128359	-0.6033989993061768	-0.6361973322140896	-0.6177482699533886	-0.713478404128359
evgLocus_FX_16890_XP_013089665.1_PREDICTED:_kelch-like_protein_28_[Biomphalaria_glabrata]	-0.2713158786135602	-0.2221183792516911	-0.22006848344494653	-0.3061641073282175	-0.2877150450675166
evgLocus_FX_16904_XP_013065355.1_PREDICTED:_guanine_nucleotide_exchange_factor_VAV2-like_[Biomphalaria_glabrata]	-0.03762775664468186	0.35185244663678206	0.370301508897483	0.3395530717963148	0.050517763045333654
evgLocus_FX_16915_XP_012944568.1_PREDICTED:_serine/threonine-protein_kinase_tricorner-like_[Aplysia_californica]	0.5875904644124049	0.6224386931270622	0.6121892140933395	0.614239109900084	0.4112994250323739
evgLocus_FX_16937_XP_013086565.1_PREDICTED:_PHD_and_RING_finger_domain-containing_protein_1-like_[Biomphalaria_glabrata]	-0.5111536880026721	-0.49270462574197127	-0.2877150450675166	-0.39840941863172213	-0.7253677998074773
evgLocus_FX_16946_XP_013061464.1_PREDICTED:_uncharacterized_protein_LOC106050931_[Biomphalaria_glabrata]	-0.6300476447938559	-0.5316526460701176	-0.5685507705915195	-0.5992992076926877	-0.6156983741466441
evgLocus_FX_16955_XP_013088948.1_PREDICTED:_serine/threonine-protein_kinase_ULK4-like_isoform_X2_[Biomphalaria_glabrata]	-0.5829000412387313	1.0242182712489933	1.2005093106290243	0.31905411372886927	-0.6218480615668777
evgLocus_FX_16972_XP_012938956.1_PREDICTED:_uncharacterized_protein_LOC101860416_[Aplysia_californica]	0.153012553382561	-0.05812671471212733	-0.060176610518871874	-0.09707473504027372	0.09971526240720278
evgLocus_FX_16976_XP_012938009.1_PREDICTED:_sialin-like_[Aplysia_californica]	-0.15447181762912104	-0.09297494342678463	-0.05607681890538278	-0.0786256727795728	-0.07247598535933916
evgLocus_FX_16979_XP_013089926.1_PREDICTED:_LOW_QUALITY_PROTEIN:_multidrug_resistance_protein_1-like,_partial_[Biomphalaria_glabrata]	1.210758789662747	1.6289375342386345	1.6371371174656129	1.5264427439014072	1.1861600399818124
evgLocus_FX_17038_XP_013086399.1_PREDICTED:_ras-related_protein_Rab-14_[Biomphalaria_glabrata]	-0.0786256727795728	-0.021228590190725486	-0.01917869438398094	-0.01917869438398094	-0.08682525600655099
evgLocus_FX_17047_XP_021369730.1_synaptotagmin-17-like_[Mizuhopecten_yessoensis]	-0.4250580641194012	0.005420055296953622	-0.017128798577236395	-0.02532838180421458	-0.45785639702731395
evgLocus_FX_17074_XP_013070444.1_PREDICTED:_tyrosine-protein_kinase_SYK-like_[Biomphalaria_glabrata]	-0.40045931443846666	0.01361963852393181	-0.02532838180421458	-0.006879319543513659	-0.45990629283405854
evgLocus_FX_17076_NP_001191485.1_NR2_[Aplysia_californica]	0.5322432776303022	0.054617554658822745	0.07101672111277912	-0.0007296321232800184	0.37440130051097203
evgLocus_FX_17079_XP_012939301.1_PREDICTED:_inactive_tyrosine-protein_kinase_7-like_[Aplysia_californica]	-0.46195618864080307	0.3887505711581839	-0.4373574389598685	-0.2795154618405384	-0.5132035838094168
evgLocus_FX_17082_XP_013073453.1_PREDICTED:_leukocyte_tyrosine_kinase_receptor-like_[Biomphalaria_glabrata]	-0.09092504762004008	-0.04172754825817095	-0.11757369310771919	-0.06837619374585006	-0.19546973376401197
evgLocus_FX_17083_XP_012939741.1_PREDICTED:_E3_ubiquitin-protein_ligase_NEDD4-like_[Aplysia_californica]	0.9073742102645542	0.6490873386147413	0.7966798367003487	0.7802806702463924	0.5445426524707695
evgLocus_FX_17122_XP_012946173.1_PREDICTED:_serine/threonine-protein_kinase_N2-like_[Aplysia_californica]	0.3539023424435266	1.3132535799999745	1.0549667083501615	0.20630984435791921	0.1653119282230283
evgLocus_FX_17166_XP_013072951.1_PREDICTED:_FRAS1-related_extracellular_matrix_protein_1-like_isoform_X1_[Biomphalaria_glabrata]	-0.5869998328522205	1.2435571225706599	1.28865483031904	1.300954205159507	-0.6439869362797188
evgLocus_FX_17176_XP_013082060.1_PREDICTED:_tyrosine-protein_kinase_JAK2-like_[Biomphalaria_glabrata]	-0.5316526460701176	-0.502954104775694	-0.5275528544566286	-0.4968044173554604	-0.5685507705915195
evgLocus_FX_17183_XP_013079997.1_PREDICTED:_sialin-like_[Biomphalaria_glabrata]	-0.15037202601563193	-0.12167348472120829	-0.1442223385953983	-0.1442223385953983	-0.18522025473028925
evgLocus_FX_17184_XP_012936457.1_PREDICTED:_multiple_C2_and_transmembrane_domain-containing_protein_1-like_isoform_X2_[Aplysia_californica]	0.3580021340570157	0.45434723697400936	0.45639713278075394	0.4010499459986512	0.23295848984559833
