	('DM', 'Type: Invertebrate')	('DR', 'Type: Vertebrate')	('MM', 'Type: Vertebrate')	('XT', 'Type: Vertebrate')	('CE', 'Type: Invertebrate')
('evgLocus_FX_17038_XP_013086399.1_PREDICTED:_ras-related_protein_Rab-14_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.05050104156891939	0.019810338069256105	0.022321458770619515	0.022321458770619515	-0.06054552437437303
('evgLocus_FX_17047_XP_021369730.1_synaptotagmin-17-like_[Mizuhopecten_yessoensis]', 'Category: SV-Occupied Space')	-0.4748804400993358	0.05245490718698044	0.024832579471982925	0.014788096666529284	-0.5150583713211503
('evgLocus_FX_17083_XP_012939741.1_PREDICTED:_E3_ubiquitin-protein_ligase_NEDD4-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	1.1573480157868812	0.8409468074150913	1.0217474979132568	1.0016585323023497	0.7128796516455574
('evgLocus_FX_17184_XP_012936457.1_PREDICTED:_multiple_C2_and_transmembrane_domain-containing_protein_1-like_isoform_X2_[Aplysia_californica]', 'Category: SV-Occupied Space')	0.48436766782148705	0.6023903407855673	0.6049014614869308	0.5371012025501187	0.331189305038319
('evgLocus_FX_17240_XP_005103672.1_PREDICTED:_ERC_protein_2-like_isoform_X1_[Aplysia_californica]', 'Category: Dense Projection')	-0.6280588028825038	0.09765507981152183	0.07003275209652432	0.07505499349925114	-0.7033924239234062
('evgLocus_FX_17289_XP_012936557.1_PREDICTED:_voltage-dependent_calcium_channel_subunit_alpha-2/delta-3-like_[Aplysia_californica]', 'Category: Dense Projection')	0.14536637313742662	0.21567775277560214	0.21316663207423872	0.05747714858970726	-0.4121024225652505
('evgLocus_FX_17290_XP_012936979.1_PREDICTED:_BAI1-associated_protein_3-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	1.0418364635241641	0.991614049496896	0.6551238755141989	0.8836358593382694	0.6099237028896576
('evgLocus_FX_17353_AAO83841.1_voltage-dependent_non-L-type_calcium_channel_alpha-1_subunit_isoform_A_[Lymnaea_stagnalis]', 'Category: Dense Projection')	1.8328394844536384	1.6093497420322949	1.506393793276395	1.4109712066245856	1.634460949045929
('evgLocus_FX_17471_XP_013066187.1_PREDICTED:_ras-related_protein_Rab-11B-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.030412075958012104	-0.022878713853921873	-0.035434317360738925	-0.037945438062102335	-0.11076793840164124
('evgLocus_FX_17547_XP_012944513.1_PREDICTED:_ras-related_protein_Rab-22A-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.5150583713211503	-0.5627696646470551	-0.5652807853484185	-0.5577474232443284	-0.5853697509593259
('evgLocus_FX_17652_XP_005106594.2_PREDICTED:_regulating_synaptic_membrane_exocytosis_protein_2-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	-0.3066353531079873	-0.18107931803981675	0.17047758015106074	-0.18359043874118014	-0.45228035378706505
('evgLocus_FX_17848_XP_005089062.1_PREDICTED:_ras-related_protein_Rab-28-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.708414665326133	-0.6757700962084087	-0.27650190469162633	-0.2664574218861727	-0.4899471643075162
('evgLocus_FX_18293_Q05976.1_RecName:_Full=Ras-related_protein_Rab-18A', 'Category: SV-Occupied Space')	-0.5200806127238772	-0.20116828365072403	-0.21372388715754106	-0.20116828365072403	-0.299101991003897
('evgLocus_FX_18374_XP_013094898.1_PREDICTED:_LOW_QUALITY_PROTEIN:_ras-related_protein_Rab-40B-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.12081242120709489	-0.0756122485825535	-0.09319009349209736	-0.06054552437437303	-0.6155031993756868
('evgLocus_FX_18625_XP_013061644.1_PREDICTED:_sec1_family_domain-containing_protein_1-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	0.9012137042478132	1.2452372403346004	1.1899925849046054	1.217614912619603	0.4944121506269407
('evgLocus_FX_19019_XP_012943292.1_PREDICTED:_two_pore_calcium_channel_protein_2-like_[Aplysia_californica]', 'Category: Dense Projection')	-0.752610389670129	0.3236559429342288	-0.5326362162306942	0.3337004257396824	-0.7603948638443555
('evgLocus_FX_19280_XP_013060512.1_PREDICTED:_dynamin-1-like_protein_isoform_X3_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	1.4034378445204954	1.4637047413532172	1.4863048276654878	1.2829040508550515	1.2000370677100591
('evgLocus_FX_19691_ABI84147.1_dynamin_isoform_A,_partial_[Lymnaea_stagnalis]', 'Category: Peri-Active Zone')	1.9106842261959043	2.0161512956531675	2.0588403475763455	1.9960623300422602	1.7650392255168263
('evgLocus_FX_19832_XP_005094380.1_PREDICTED:_C2_calcium-dependent_domain-containing_protein_4C-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.7059035446247696	-0.7033924239234062	-0.6908368204165891	-0.7109257860274963	-0.7385481137424939
('evgLocus_FX_19958_XP_013092159.1_PREDICTED:_synaptotagmin-15-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6280588028825038	-0.5703030267511454	-0.5326362162306942	-0.5703030267511454	-0.6155031993756868
('evgLocus_FX_19978_XP_005091515.1_PREDICTED:_syntaxin-7-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	-0.6757700962084087	-0.5778363888552356	-0.5602585439456917	-0.5753252681538722	-0.7963038898738524
('evgLocus_FX_20290_XP_013065693.1_PREDICTED:_AP-2_complex_subunit_alpha-2-like_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	2.4581085390931277	2.5359532808353933	2.581153453459935	2.5685978499531177	2.269774486490872
('evgLocus_FX_20441_XP_013095521.1_PREDICTED:_AP-4_complex_subunit_epsilon-1-like_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	-0.6506588891947745	-0.35183552573252863	-0.32923543942025796	-0.3995468190584335	-0.6431255270906843
('evgLocus_FX_20673_XP_013090682.1_PREDICTED:_ras-related_and_estrogen-regulated_growth_inhibitor-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.4999916471129699	-0.6933479411179525	-0.6858145790138622	-0.6004364751675063	-0.75185705345972
('evgLocus_FX_20814_XP_005104243.2_PREDICTED:_ras-related_protein_Rab-21-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.3869912155516164	-0.1735459559357265	-0.22125724926163132	-0.20367940435208742	-0.45981371589115533
('evgLocus_FX_21157_XP_013067179.1_PREDICTED:_cell_division_control_protein_42_homolog_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.42214690537070415	-0.2513906976779922	-0.2689685425875361	-0.4121024225652505	-0.427169146773431
('evgLocus_FX_21384_XP_005103072.1_PREDICTED:_cell_division_control_protein_42_homolog_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.5728141474525088	-0.5828586302579625	-0.5778363888552356	-0.5828586302579625	-0.5753252681538722
('evgLocus_FX_21501_XP_005089220.2_PREDICTED:_two_pore_calcium_channel_protein_1-like_[Aplysia_californica]', 'Category: Dense Projection')	-0.7335258723397671	0.710368530944194	0.6526127548128355	0.5747680130705698	-0.8136306227132598
('evgLocus_FX_21948_XP_005107406.1_PREDICTED:_vacuolar_protein_sorting-associated_protein_45-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	0.5923458579801137	1.0694587912391618	1.1297256880718836	1.0493698256282544	0.27343352890696054
('evgLocus_FX_22021_XP_013094139.1_PREDICTED:_ras-like_GTP-binding_protein_Rho1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.1685237145329997	-0.19363492154663378	-0.1961460422479972	-0.20367940435208742	-0.19363492154663378
('evgLocus_FX_22280_XP_012940102.1_PREDICTED:_synaptotagmin-11-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.6732589755070452	-0.6707478548056818	-0.6782812169097721	-0.6833034583124988	-0.7360369930411305
('evgLocus_FX_22725_AAO83849.1_neural-specific_syntaxin-binding_protein_1_[Lymnaea_stagnalis]', 'Category: AZ-Proximal Zone')	0.3939673225724043	0.45674534010648954	0.48185654712012366	0.46678982291194315	0.2809668910110508
('evgLocus_FX_22824_XP_013067172.1_PREDICTED:_synaptotagmin-16-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.0756122485825535	0.0022324931597122316	0.03989930368016339	0.027343700173346336	-0.7184591481315866
('evgLocus_FX_22828_XP_013092104.1_PREDICTED:_rho-related_GTP-binding_protein_RhoE-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6155031993756868	-0.5602585439456917	-0.5326362162306942	-0.5351473369320576	-0.6205254407784135
('evgLocus_FX_23096_XP_013082742.1_PREDICTED:_synaptotagmin-1-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6556811305975013	-0.6155031993756868	-0.5979253544661429	-0.6155031993756868	-0.6556811305975013
('evgLocus_FX_23171_NP_001191427.1_RHEB_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.40456906046116026	-0.42214690537070415	-0.40456906046116026	-0.39703569835707003	-0.592903113063416
('evgLocus_FX_23510_XP_005100565.1_PREDICTED:_voltage-dependent_calcium_channel_subunit_alpha-2/delta-2-like_isoform_X1_[Aplysia_californica]', 'Category: Dense Projection')	-0.1911238008452704	0.15038861454015345	0.17801094225515096	0.07505499349925114	-0.4648359572938821
('evgLocus_FX_24079_XP_012934570.1_PREDICTED:_synaptotagmin-4-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.08565673138800714	-0.21623500785890448	-0.1735459559357265	-0.18610155944254356	-0.40456906046116026
('evgLocus_FX_24227_XP_021371779.1_ras-related_protein_Rab-7L1-like_[Mizuhopecten_yessoensis]', 'Category: SV-Occupied Space')	-0.6205254407784135	-0.6305699235838672	-0.5903919923620526	-0.6029475958688697	-0.6983701825206793
('evgLocus_FX_24295_XP_013062132.1_PREDICTED:_ras-related_protein_Rab-43-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.3819689741488896	-0.3367688015243482	-0.35183552573252863	-0.46985819869660894	-0.3643911292393457
('evgLocus_FX_24798_XP_009064408.1_synaptotagmin_12_[Lottia_gigantea]', 'Category: SV-Occupied Space')	-0.44223587098161143	-0.4121024225652505	-0.3819689741488896	-0.37443561204479936	-0.5426806990361479
('evgLocus_FX_24800_XP_013081447.1_PREDICTED:_ras-related_protein_RabC-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6054587165702331	-0.5878808716606893	-0.5903919923620526	-0.592903113063416	-0.5778363888552356
('evgLocus_FX_24873_XP_005099714.2_PREDICTED:_cdc42_homolog_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.5652807853484185	-0.5652807853484185	-0.5652807853484185	-0.5652807853484185	-0.5577474232443284
('evgLocus_FX_25050_XP_013068694.1_PREDICTED:_AP-4_complex_subunit_beta-1-like_[Biomphalaria_glabrata]', 'Category: Peri-Active Zone')	-0.6632144927015916	-0.5150583713211503	-0.45981371589115533	-0.46734707799524555	-0.648147768493411
('evgLocus_FX_25741_XP_005111036.1_PREDICTED:_ras-related_protein_Rab-9B-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.427169146773431	-0.3166798359134409	-0.3091464738093507	-0.31165759451071406	-0.5225917334252406
('evgLocus_FX_26078_XP_013074071.1_PREDICTED:_ras-related_protein_M-Ras-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.4899471643075162	-0.3593688878366189	-0.35183552573252863	-0.32672431871889457	-0.35183552573252863
('evgLocus_FX_26143_XP_013070340.1_PREDICTED:_rab-like_protein_2A_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.72097026883295	-0.2237683699629947	-0.2689685425875361	-0.23381285276844835	-0.72097026883295
('evgLocus_FX_26392_XP_013095861.1_PREDICTED:_syntaxin-16-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.40456906046116026	-0.15596811102618263	-0.1911238008452704	-0.13336802471391193	-0.5351473369320576
('evgLocus_FX_26752_XP_005103568.1_PREDICTED:_ras-related_protein_Rab-20-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.7420636827244026	-0.6330810442852306	-0.6381032856879575	-0.7430681310049481	-0.7681793380185822
('evgLocus_FX_26776_XP_012945898.1_PREDICTED:_ras-related_protein_Rab-27A-like_isoform_X1_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.3593688878366189	-0.18359043874118014	-0.20116828365072403	-0.2413462148725386	-0.2965908703025336
('evgLocus_FX_27211_XP_013074922.1_PREDICTED:_ADP-ribosylation_factor-like_protein_4C_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.5627696646470551	-0.5075250092170601	-0.5200806127238772	-0.5401695783347844	-0.5853697509593259
('evgLocus_FX_27319_XP_013094155.1_PREDICTED:_ras-related_protein_Rab-11B-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.34681328432980185	-0.3242131980175311	-0.3191909566148043	-0.32672431871889457	-0.3392799222257116
('evgLocus_FX_27744_XP_013067147.1_PREDICTED:_syntaxin-5-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.18359043874118014	-0.0027897482430145897	-0.037945438062102335	-0.05552328297164621	-0.43219138817615776
('evgLocus_FX_28038_XP_005101406.1_PREDICTED:_dnaJ_homolog_subfamily_C_member_27-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.7059035446247696	-0.0530121622702828	-0.0781233692839169	-0.6933479411179525	-0.7134369067288597
('evgLocus_FX_28334_XP_013092780.1_PREDICTED:_putative_Ras-related_protein_Rab-33_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.5878808716606893	-0.2915686288998068	-0.25390181837935566	-0.2890575081984434	-0.3995468190584335
('evgLocus_FX_28366_XP_013062626.1_PREDICTED:_ras-related_protein_Rab-15-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.5602585439456917	-0.4924582850088796	-0.47739156080069917	-0.4799026815020626	-0.5602585439456917
('evgLocus_FX_28556_XP_012941242.1_PREDICTED:_ras-related_protein_Rab-13-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.6933479411179525	-0.7033924239234062	-0.7109257860274963	-0.708414665326133	-0.7259925102356768
('evgLocus_FX_29246_XP_005101013.1_PREDICTED:_voltage-dependent_calcium_channel_gamma-5_subunit-like_[Aplysia_californica]', 'Category: Dense Projection')	-0.8543107780753472	-0.6581922512988647	-0.6682367341043184	-0.6782812169097721	-0.8136306227132598
('evgLocus_FX_29454_XP_009060412.1_synaptotagmin_15b_[Lottia_gigantea]', 'Category: SV-Occupied Space')	-0.5903919923620526	-0.46734707799524555	-0.384480094850253	-0.5602585439456917	-0.6255476821811404
('evgLocus_FX_29802_XP_013070188.1_PREDICTED:_ras-related_protein_R-Ras2-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.35685776713525547	-0.3091464738093507	-0.3091464738093507	-0.3794578534475262	-0.42465802607206754
('evgLocus_FX_30265_XP_002284542.1_PREDICTED:_ras-related_protein_RHN1_isoform_X1_[Vitis_vinifera]', 'Category: SV-Occupied Space')	-0.6381032856879575	-0.6406144063893209	-0.6406144063893209	-0.6406144063893209	-0.6456366477920477
('evgLocus_FX_30481_XP_013070650.1_PREDICTED:_ras-related_protein_Rab-32-like_isoform_X3_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.20870164575481426	-0.2237683699629947	-0.2413462148725386	-0.2639463011848093	-0.6757700962084087
('evgLocus_FX_30617_AAO83848.1_synaptobrevin_isoform_A_[Lymnaea_stagnalis]', 'Category: SV-Occupied Space')	-0.6581922512988647	-0.6506588891947745	-0.6431255270906843	-0.6632144927015916	-0.6757700962084087
('evgLocus_FX_30650_XP_013092234.1_PREDICTED:_ras-related_protein_Rab-32B-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.4547914744884285	-0.4547914744884285	-0.43972475028024804	-0.4296802674747944	-0.6782812169097721
('evgLocus_FX_31477_XP_005098867.1_PREDICTED:_syntaxin-6-like_[Aplysia_californica]', 'Category: AZ-Proximal Zone')	-0.6506588891947745	-0.2790130253929897	-0.32170207731616773	-0.3392799222257116	-0.8058461485390334
('evgLocus_FX_31483_XP_013074916.1_PREDICTED:_GTP-binding_protein_Di-Ras2-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.3191909566148043	-0.243857335573902	-0.14341250751936557	-0.20367940435208742	-0.3895023362529798
('evgLocus_FX_31514_XP_005111271.1_PREDICTED:_ras-related_protein_Rab-7L1-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.5150583713211503	-0.5050138885156967	-0.43972475028024804	-0.43972475028024804	-0.6833034583124988
('evgLocus_FX_32049_XP_012945701.1_PREDICTED:_ras-related_protein_Rab-23-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.34681328432980185	-0.30412423240662384	-0.2790130253929897	-0.31165759451071406	-0.6632144927015916
('evgLocus_FX_32323_XP_013088478.1_PREDICTED:_LOW_QUALITY_PROTEIN:_ras-related_protein_Ral-A-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.1911238008452704	-0.20870164575481426	-0.1911238008452704	-0.2614351804834459	-0.2890575081984434
('evgLocus_FX_32903_XP_013082764.1_PREDICTED:_ras-related_and_estrogen-regulated_growth_inhibitor-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.72097026883295	-0.6431255270906843	-0.7134369067288597	-0.7033924239234062	-0.7729504673511726
('evgLocus_FX_33327_XP_013079152.1_PREDICTED:_syntaxin-7-like_isoform_X2_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.5903919923620526	-0.3920134569543432	-0.40205793975979687	-0.37694673274616275	-0.6757700962084087
('evgLocus_FX_33513_XP_005106616.1_PREDICTED:_GTP-binding_protein_Rit2-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.39703569835707003	-0.427169146773431	-0.39703569835707003	-0.4799026815020626	-0.5451918197375113
('evgLocus_FX_33566_XP_005091033.1_PREDICTED:_ras-related_protein_Rab-37-like_isoform_X3_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.3166798359134409	-0.40456906046116026	-0.23381285276844835	-0.30412423240662384	-0.4547914744884285
('evgLocus_FX_34028_XP_013076668.1_PREDICTED:_LOW_QUALITY_PROTEIN:_syntaxin-2-like_[Biomphalaria_glabrata]', 'Category: AZ-Proximal Zone')	-0.6833034583124988	-0.6933479411179525	-0.6908368204165891	-0.6858145790138622	-0.6607033720002281
('evgLocus_FX_34211_XP_005108167.1_PREDICTED:_ras-related_and_estrogen-regulated_growth_inhibitor-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.6431255270906843	-0.46734707799524555	-0.3895023362529798	-0.39452457765570664	-0.6632144927015916
('evgLocus_FX_34650_XP_005092540.1_PREDICTED:_vesicle-associated_membrane_protein_7-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.6707478548056818	-0.648147768493411	-0.6506588891947745	-0.6531700098961379	-0.7729504673511726
('evgLocus_FX_34759_XP_005106169.1_PREDICTED:_ras-related_protein_Rab-34-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.6581922512988647	-0.299101991003897	-0.3242131980175311	-0.28654638749708	-0.6607033720002281
('evgLocus_FX_34777_XP_013073907.1_PREDICTED:_ras-related_and_estrogen-regulated_growth_inhibitor-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.6908368204165891	-0.6255476821811404	-0.580347509556599	-0.5979253544661429	-0.7385481137424939
('evgLocus_FX_34817_XP_013085837.1_PREDICTED:_ras-related_protein_Rab-35-like_isoform_X2_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.2413462148725386	-0.21121276645617768	-0.2187461285602679	-0.21372388715754106	-0.28403526679571656
('evgLocus_FX_34892_XP_005112546.1_PREDICTED:_ras-related_protein_Rab-22A-like_[Aplysia_californica]', 'Category: SV-Occupied Space')	-0.49496940571024306	-0.3920134569543432	-0.3869912155516164	-0.40205793975979687	-0.48743604360615284
('evgLocus_FX_35191_XP_013074189.1_PREDICTED:_intraflagellar_transport_protein_27_homolog_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.7556237345117651	-0.5276139748279673	-0.4899471643075162	-0.45981371589115533	-0.7385481137424939
('evgLocus_FX_35555_XP_013077214.1_PREDICTED:_ras-related_protein_Rab-5B-like_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.1685237145329997	-0.13336802471391193	-0.11327905910300465	-0.11327905910300465	-0.16350147313027286
('evgLocus_FX_36366_XP_013064765.1_PREDICTED:_ras-related_protein_ced-10-like,_partial_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.42214690537070415	-0.427169146773431	-0.42214690537070415	-0.42214690537070415	-0.40205793975979687
('evgLocus_FX_37461_XP_013072802.1_PREDICTED:_vesicle-associated_membrane_protein_3-like_isoform_X1_[Biomphalaria_glabrata]', 'Category: SV-Occupied Space')	-0.7922860967516708	-0.7922860967516708	-0.7895238639801712	-0.8088594933806693	-0.8058461485390334
